Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
FAST, BRIEF, 7, 13.4805, 13.6398, -0.159293
FAST, BRIEF, 8, 14.0734, 11.8702, 2.20323
FAST, BRIEF, 9, 13.0205, 12.7502, 0.270293
FAST, BRIEF, 10, 11.9077, 10.6233, 1.28442
FAST, BRIEF, 11, 11.2423, 11.2507, -0.00832513
FAST, BRIEF, 12, 9.69089, 11.8722, -2.18132
FAST, BRIEF, 13, 9.61285, 10.3287, -0.715833
FAST, BRIEF, 14, 9.1458, 11.4489, -2.3031
FAST, BRIEF, 15, 8.38699, 11.3289, -2.94186
FAST, BRIEF, 16, 8.96962, 9.09611, -0.12649
FAST, BRIEF, 17, 10.9895, 9.83828, 1.15123
FAST, BRIEF, 18, 8.49633, 11.0553, -2.55902
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
FAST, SIFT, 1, 12.4857, 14.0054, -1.51964
FAST, SIFT, 2, 12.7245, 12.0823, 0.642165
FAST, SIFT, 3, 19.866, 12.8139, 7.05216
FAST, SIFT, 4, 14.0501, 11.5067, 2.54332
FAST, SIFT, 5, 12.5319, 12.254, 0.277973
FAST, SIFT, 6, 13.8845, 13.4404, 0.444026
FAST, SIFT, 7, 13.4805, 13.5072, -0.0267325
FAST, SIFT, 8, 14.0734, 12.7774, 1.29606
FAST, SIFT, 9, 13.0205, 13.0123, 0.00827027
FAST, SIFT, 10, 11.9077, 11.1439, 0.763779
FAST, SIFT, 11, 11.2423, 10.8888, 0.353584
FAST, SIFT, 12, 9.69089, 11.4664, -1.77556
FAST, SIFT, 13, 9.61285, 10.7466, -1.13373
FAST, SIFT, 14, 9.1458, 11.1323, -1.98649
FAST, SIFT, 15, 8.38699, 10.5231, -2.13606
FAST, SIFT, 16, 8.96962, 9.11132, -0.141699
FAST, SIFT, 17, 10.9895, 9.37266, 1.61685
FAST, SIFT, 18, 8.49633, 10.8636, -2.3673
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
